User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Device
33,Standard,12,2022-01-21,2023-06-27,UnitedKingdom,41,Laptop
1278,Standard,13,2022-09-27,2023-07-05,Mexico,44,Laptop
2275,Basic,11,2022-07-23,2023-07-09,UnitedStates,50,SmartTV
998,Standard,15,2022-09-25,2023-07-02,UnitedStates,41,Laptop
2409,Standard,14,2022-08-03,2023-07-11,Canada,38,Laptop
811,Premium,13,2022-06-10,2023-06-30,France,36,Laptop
591,Premium,14,2022-06-19,2023-06-28,Spain,35,SmartTV
1964,Basic,15,2022-11-01,2023-07-08,Australia,29,SmartTV
1873,Standard,14,2022-08-18,2023-07-08,UnitedKingdom,50,Smartphone
1226,Premium,15,2022-06-29,2023-07-03,UnitedStates,38,Smartphone
2115,Standard,10,2022-11-04,2023-07-08,Germany,31,Laptop
1914,Premium,11,2022-09-14,2023-07-08,Canada,46,Tablet
744,Premium,13,2022-06-11,2023-06-29,Canada,34,Tablet
193,Standard,11,2022-08-05,2023-06-25,UnitedKingdom,50,Laptop
1159,Standard,15,2022-06-25,2023-07-01,Spain,41,Laptop
59,Premium,15,2022-12-03,2023-06-23,Spain,27,SmartTV
960,Basic,15,2022-07-15,2023-06-30,Germany,46,Tablet
1056,Premium,15,2022-10-27,2023-07-02,Spain,36,Tablet
114,Premium,10,2022-11-18,2023-06-25,Australia,48,Smartphone
1771,Premium,11,2022-09-09,2023-07-08,France,48,Laptop
282,Basic,11,2022-10-30,2023-06-25,Canada,33,SmartTV
90,Standard,13,2023-02-03,2023-06-23,Italy,49,Smartphone
1109,Premium,13,2022-09-04,2023-07-01,Australia,51,Smartphone
2398,Standard,10,2022-10-25,2023-07-11,UnitedKingdom,41,SmartTV
397,Basic,11,2022-07-14,2023-06-26,Brazil,31,Smartphone
1218,Standard,13,2022-07-11,2023-07-03,Mexico,40,Laptop
722,Basic,13,2022-08-11,2023-06-30,Brazil,45,Smartphone
1407,Basic,14,2022-10-31,2023-07-04,Canada,45,SmartTV
73,Standard,12,2022-09-27,2023-06-26,UnitedKingdom,28,Laptop
190,Basic,11,2022-09-18,2023-06-26,Italy,37,Tablet
1267,Basic,14,2022-10-29,2023-07-03,Spain,41,Tablet
1792,Basic,15,2022-07-02,2023-07-09,Spain,45,Tablet
226,Basic,10,2022-09-27,2023-06-26,France,35,Smartphone
1805,Basic,10,2022-09-04,2023-07-06,Italy,50,SmartTV
2404,Standard,12,2022-09-17,2023-07-12,Spain,48,Tablet
2147,Basic,12,2022-07-23,2023-07-09,Brazil,30,Smartphone
1011,Premium,15,2022-07-01,2023-06-30,Spain,28,SmartTV
2058,Standard,10,2022-08-10,2023-07-11,Mexico,31,Smartphone
1357,Standard,11,2022-07-12,2023-07-02,Spain,51,SmartTV
1363,Standard,11,2022-07-01,2023-07-05,UnitedKingdom,29,Laptop
1312,Basic,11,2022-08-06,2023-07-06,Spain,31,Laptop
1899,Standard,14,2022-11-07,2023-07-09,Canada,39,Smartphone
209,Premium,11,2022-12-10,2023-06-24,Spain,41,Laptop
725,Basic,12,2022-08-01,2023-06-29,Italy,29,Tablet
2046,Premium,12,2022-10-30,2023-07-09,Spain,41,Smartphone
984,Standard,15,2022-10-16,2023-07-03,Canada,39,SmartTV
1435,Premium,12,2022-06-30,2023-07-03,UnitedStates,30,Smartphone
1857,Basic,13,2022-07-06,2023-07-07,Canada,44,SmartTV
2186,Basic,15,2022-10-27,2023-07-11,UnitedStates,38,SmartTV
1084,Standard,10,2022-06-29,2023-07-03,Spain,30,Smartphone
1172,Basic,11,2022-07-29,2023-07-04,Brazil,51,SmartTV
708,Standard,13,2022-11-02,2023-07-01,Mexico,39,Laptop
1968,Standard,12,2022-11-06,2023-07-09,Mexico,32,Tablet
2041,Premium,10,2022-11-09,2023-07-07,France,34,Smartphone
2343,Standard,10,2022-07-30,2023-07-11,Mexico,34,Laptop
721,Premium,10,2022-08-16,2023-06-29,France,37,Tablet
1954,Standard,11,2022-10-10,2023-07-11,Spain,43,Laptop
999,Standard,10,2022-08-26,2023-07-01,Canada,50,Tablet
1039,Standard,13,2022-09-03,2023-07-01,Spain,50,Laptop
682,Standard,11,2022-07-23,2023-06-27,Spain,42,Tablet
1105,Basic,15,2022-08-21,2023-07-01,UnitedStates,39,Tablet
1240,Basic,11,2022-07-20,2023-07-04,UnitedStates,30,Laptop
1082,Basic,13,2022-06-28,2023-07-02,Brazil,27,Tablet
2497,Basic,15,2022-08-04,2023-07-14,Spain,33,SmartTV
2206,Premium,11,2022-07-18,2023-07-11,France,31,SmartTV
1614,Premium,13,2022-10-27,2023-07-07,Canada,46,Tablet
1802,Premium,12,2022-08-15,2023-07-07,Brazil,30,Smartphone
789,Premium,11,2022-09-02,2023-06-30,Canada,33,Smartphone
1765,Basic,11,2022-10-18,2023-07-05,UnitedStates,37,Tablet
1405,Basic,11,2022-10-27,2023-07-06,UnitedStates,48,SmartTV
836,Basic,15,2022-10-04,2023-07-01,UnitedStates,28,Laptop
1216,Premium,15,2022-07-28,2023-07-04,France,28,Tablet
593,Standard,11,2022-06-06,2023-06-29,UnitedStates,41,Smartphone
2197,Basic,11,2022-08-13,2023-07-10,Spain,28,Smartphone
1538,Standard,10,2022-10-11,2023-07-05,UnitedStates,44,SmartTV
21,Premium,15,2023-06-10,2023-06-22,UnitedStates,26,Laptop
2410,Premium,12,2022-08-02,2023-07-14,UnitedStates,34,Smartphone
1168,Standard,13,2022-07-05,2023-07-02,UnitedKingdom,42,Laptop
2286,Premium,15,2022-07-22,2023-07-12,Spain,41,Laptop
2174,Premium,14,2022-11-04,2023-07-11,Australia,33,Smartphone
733,Standard,10,2022-06-18,2023-06-29,UnitedKingdom,51,Laptop
335,Basic,10,2022-08-11,2023-06-25,Germany,47,Tablet
1156,Premium,14,2022-06-26,2023-07-02,France,51,Laptop
784,Standard,14,2022-10-31,2023-06-30,Spain,27,Laptop
1869,Premium,13,2022-08-11,2023-07-08,Canada,48,SmartTV
1320,Basic,10,2022-09-14,2023-07-05,Germany,39,Laptop
2035,Premium,11,2022-11-04,2023-07-10,UnitedStates,51,SmartTV
1161,Premium,12,2022-06-21,2023-07-03,Spain,41,Smartphone
1633,Standard,11,2022-08-31,2023-07-05,UnitedKingdom,35,Tablet
1825,Basic,13,2022-11-01,2023-07-08,UnitedStates,45,SmartTV
2252,Premium,12,2022-11-11,2023-07-11,Brazil,31,Tablet
874,Premium,10,2022-06-23,2023-07-02,Spain,31,SmartTV
1995,Basic,11,2022-07-12,2023-07-08,Germany,39,Tablet
2008,Standard,10,2022-07-26,2023-07-09,UnitedKingdom,45,Laptop
109,Standard,13,2023-02-08,2023-06-25,Spain,35,Tablet
507,Basic,15,2022-10-24,2023-06-26,Canada,49,Tablet
1427,Premium,10,2022-07-15,2023-07-03,Brazil,40,Tablet
1158,Standard,12,2022-06-25,2023-07-02,Mexico,35,SmartTV
2492,Basic,14,2022-07-19,2023-07-12,Brazil,29,Laptop
376,Basic,12,2022-06-20,2023-06-27,France,39,Smartphone
1518,Standard,13,2022-07-19,2023-07-07,Mexico,45,SmartTV
1560,Basic,12,2022-09-12,2023-07-07,Germany,39,SmartTV
797,Basic,10,2022-08-05,2023-06-30,Brazil,35,Tablet
1119,Premium,12,2022-10-10,2023-07-02,Canada,48,Smartphone
1852,Basic,14,2022-07-20,2023-07-10,Spain,49,Tablet
132,Basic,15,2022-06-24,2023-06-28,Canada,48,SmartTV
274,Premium,10,2022-08-01,2023-06-24,Australia,27,Tablet
255,Basic,13,2022-05-20,2023-06-26,Germany,46,SmartTV
1919,Standard,11,2022-08-07,2023-07-09,Australia,27,SmartTV
674,Premium,13,2022-06-10,2023-06-28,Australia,37,Laptop
970,Basic,15,2022-09-03,2023-07-03,UnitedStates,44,Tablet
2477,Premium,12,2022-08-30,2023-07-12,Brazil,40,Laptop
1023,Standard,10,2022-06-18,2023-07-02,Mexico,51,Laptop
215,Basic,13,2022-09-02,2023-06-27,Germany,50,Smartphone
1100,Basic,10,2022-07-19,2023-07-01,Italy,37,Laptop
2042,Basic,10,2022-11-09,2023-07-10,Brazil,35,Smartphone
966,Premium,12,2022-08-16,2023-07-04,Spain,42,Laptop
1153,Standard,15,2022-06-29,2023-07-03,UnitedKingdom,32,Laptop
2311,Premium,14,2022-10-30,2023-07-11,France,28,SmartTV
910,Premium,10,2022-10-08,2023-07-03,UnitedStates,40,SmartTV
1225,Basic,13,2022-06-30,2023-07-01,UnitedStates,50,SmartTV
1952,Premium,14,2022-09-27,2023-07-08,Brazil,31,Smartphone
2072,Basic,15,2022-07-10,2023-07-11,Brazil,49,Laptop
1002,Basic,13,2022-08-12,2023-07-03,Canada,38,Tablet
2326,Basic,12,2022-11-01,2023-07-11,France,39,Tablet
315,Standard,15,2022-04-28,2023-06-27,Germany,47,SmartTV
2183,Basic,10,2022-11-09,2023-07-10,UnitedStates,49,SmartTV
2162,Basic,10,2022-10-03,2023-07-10,Brazil,43,Tablet
412,Basic,12,2022-09-03,2023-06-26,Canada,47,Laptop
2036,Basic,12,2022-11-05,2023-07-09,UnitedStates,48,Smartphone
2109,Standard,12,2022-11-09,2023-07-10,Canada,44,Tablet
1379,Premium,11,2022-07-22,2023-07-03,Australia,46,Smartphone
906,Premium,13,2022-10-06,2023-07-02,Spain,32,SmartTV
1088,Standard,10,2022-06-26,2023-07-02,UnitedStates,50,Smartphone
2122,Basic,11,2022-09-23,2023-07-10,Spain,48,SmartTV
12,Premium,15,2023-03-23,2023-06-28,Canada,45,Tablet
2320,Basic,14,2022-11-10,2023-07-11,UnitedStates,50,SmartTV
1680,Basic,13,2022-10-18,2023-07-07,Germany,32,Laptop
232,Standard,11,2022-08-30,2023-06-27,Canada,28,Smartphone
769,Premium,14,2022-10-08,2023-06-30,Spain,36,SmartTV
2413,Standard,13,2022-07-31,2023-07-11,UnitedKingdom,44,Tablet
496,Premium,10,2022-10-30,2023-06-30,France,51,Laptop
1323,Standard,10,2022-09-28,2023-07-02,Mexico,29,Smartphone
2425,Basic,12,2022-07-21,2023-07-10,UnitedStates,39,Tablet
1848,Standard,11,2022-08-01,2023-07-10,Mexico,49,Laptop
303,Standard,12,2022-06-11,2023-06-26,UnitedKingdom,45,Tablet
765,Standard,11,2022-09-28,2023-06-29,Germany,35,SmartTV
1121,Basic,15,2022-10-12,2023-07-01,UnitedStates,44,SmartTV
1393,Standard,10,2022-10-01,2023-07-03,UnitedKingdom,37,SmartTV
1476,Premium,10,2022-10-31,2023-07-07,Spain,45,Tablet
381,Premium,10,2022-07-14,2023-06-27,UnitedStates,43,Laptop
1213,Standard,10,2022-08-16,2023-07-02,UnitedKingdom,27,SmartTV
198,Standard,10,2022-10-18,2023-06-27,Mexico,49,Laptop
1781,Premium,15,2022-07-22,2023-07-06,UnitedStates,35,Laptop
1903,Standard,12,2022-11-03,2023-07-08,UnitedKingdom,27,SmartTV
741,Premium,14,2022-06-09,2023-06-30,Spain,47,SmartTV
349,Premium,14,2022-11-02,2023-06-26,Spain,28,Smartphone
1036,Premium,14,2022-08-22,2023-07-04,France,27,Smartphone
1509,Standard,12,2022-06-25,2023-07-04,Canada,50,Smartphone
480,Basic,15,2022-09-04,2023-06-27,Italy,37,Laptop
220,Basic,12,2022-11-26,2023-06-27,Italy,29,Tablet
1019,Standard,14,2022-06-24,2023-06-30,Australia,27,Tablet
252,Basic,11,2022-05-30,2023-06-26,Canada,38,Smartphone
842,Basic,14,2022-10-06,2023-07-02,Brazil,37,Laptop
584,Premium,14,2022-07-14,2023-06-28,Australia,48,SmartTV
1711,Premium,14,2022-07-16,2023-07-06,France,34,Smartphone
2229,Standard,11,2022-09-22,2023-07-12,Canada,43,Smartphone
658,Standard,13,2022-08-04,2023-06-29,UnitedKingdom,49,SmartTV
358,Standard,12,2022-11-11,2023-06-28,Mexico,34,SmartTV
1382,Basic,13,2022-08-08,2023-07-06,Brazil,32,SmartTV
1836,Premium,12,2022-10-22,2023-07-09,Spain,29,SmartTV
653,Standard,11,2022-07-29,2023-06-29,UnitedStates,28,Smartphone
758,Basic,12,2022-09-04,2023-06-29,UnitedStates,47,Laptop
2073,Standard,11,2022-07-12,2023-07-08,Mexico,50,Tablet
2323,Standard,12,2022-11-07,2023-07-11,UnitedKingdom,34,Laptop
1807,Standard,11,2022-09-08,2023-07-07,Spain,37,Smartphone
2427,Basic,15,2022-08-03,2023-07-14,Canada,28,Smartphone
1793,Standard,14,2022-07-03,2023-07-06,UnitedStates,42,SmartTV
814,Standard,10,2022-06-12,2023-06-29,Spain,38,Smartphone
2102,Premium,14,2022-10-27,2023-07-09,Brazil,48,Smartphone
730,Basic,12,2022-06-27,2023-06-30,UnitedStates,49,Smartphone
761,Basic,11,2022-08-31,2023-06-29,UnitedStates,48,SmartTV
1384,Standard,13,2022-08-17,2023-07-05,Spain,33,SmartTV
542,Basic,14,2022-07-26,2023-06-27,Brazil,41,Smartphone
247,Basic,12,2022-07-07,2023-06-27,Brazil,27,SmartTV
1167,Basic,12,2022-07-03,2023-07-02,Canada,45,Tablet
512,Basic,15,2022-07-13,2023-06-28,Brazil,32,Tablet
1231,Premium,13,2022-06-24,2023-07-03,France,51,Tablet
1450,Basic,12,2022-07-31,2023-07-06,UnitedStates,42,Smartphone
261,Premium,13,2022-07-04,2023-06-25,UnitedStates,27,SmartTV
1369,Premium,13,2022-06-25,2023-07-03,Spain,47,Laptop
483,Standard,14,2022-08-25,2023-06-27,UnitedKingdom,28,SmartTV
1508,Basic,11,2022-06-24,2023-07-05,UnitedStates,49,Laptop
635,Basic,13,2022-10-03,2023-06-27,Italy,29,Laptop
1729,Standard,11,2022-07-30,2023-07-07,Spain,41,Laptop
1550,Basic,11,2022-11-04,2023-07-07,Italy,49,SmartTV
1274,Premium,12,2022-10-27,2023-07-05,Australia,29,SmartTV
638,Standard,11,2022-11-16,2023-07-01,UnitedStates,38,Tablet
97,Basic,10,2022-03-05,2023-06-24,Brazil,29,Tablet
1898,Standard,13,2022-11-06,2023-07-07,UnitedStates,41,Tablet
1575,Basic,11,2022-07-08,2023-07-05,Germany,49,Laptop
1605,Basic,11,2022-10-03,2023-07-05,Germany,39,Laptop
138,Standard,15,2022-09-21,2023-06-23,Mexico,28,Laptop
1300,Basic,11,2022-06-24,2023-07-03,UnitedStates,37,Laptop
922,Basic,13,2022-11-07,2023-07-01,Spain,34,Tablet
1949,Premium,15,2022-09-17,2023-07-09,Australia,39,SmartTV
1349,Premium,14,2022-09-03,2023-07-03,Australia,28,Laptop
2107,Standard,14,2022-11-07,2023-07-07,Spain,32,SmartTV
1419,Premium,15,2022-09-22,2023-07-03,Canada,46,Smartphone
2096,Basic,15,2022-10-15,2023-07-09,UnitedStates,42,Tablet
2165,Basic,12,2022-10-14,2023-07-08,Italy,38,Laptop
27,Basic,10,2022-08-29,2023-06-25,Brazil,47,SmartTV
534,Standard,11,2022-06-05,2023-06-28,Canada,39,SmartTV
165,Standard,14,2022-05-25,2023-06-25,Germany,49,Tablet
1990,Basic,15,2022-07-30,2023-07-09,UnitedStates,30,SmartTV
1738,Standard,12,2022-09-13,2023-07-08,UnitedKingdom,33,Smartphone
806,Premium,15,2022-07-01,2023-06-30,UnitedStates,30,Laptop
1371,Premium,14,2022-06-24,2023-07-04,Spain,34,Laptop
2289,Premium,10,2022-08-10,2023-07-10,Canada,31,Tablet
71,Basic,10,2022-01-26,2023-06-20,UnitedStates,27,Smartphone
144,Premium,10,2022-08-17,2023-06-26,Australia,33,SmartTV
20,Basic,10,2023-05-27,2023-06-22,Italy,41,Tablet
2382,Basic,12,2022-11-01,2023-07-11,Canada,34,Tablet
2467,Basic,15,2022-10-26,2023-07-11,Spain,40,Smartphone
1451,Premium,15,2022-08-01,2023-07-05,UnitedStates,30,Tablet
1770,Basic,13,2022-09-10,2023-07-08,Germany,50,Tablet
810,Basic,13,2022-06-09,2023-06-29,Germany,38,Smartphone
644,Standard,15,2022-10-27,2023-06-29,Australia,47,Laptop
91,Premium,11,2022-10-03,2023-06-23,UnitedStates,39,Tablet
1030,Basic,13,2022-07-14,2023-07-01,UnitedStates,50,Smartphone
1454,Premium,11,2022-08-14,2023-07-06,Australia,27,Smartphone
2056,Premium,10,2022-08-20,2023-07-09,France,36,Tablet
292,Basic,11,2022-12-12,2023-06-27,Canada,43,Laptop
2439,Premium,10,2022-09-28,2023-07-13,Canada,36,Laptop
243,Standard,11,2022-05-25,2023-06-27,UnitedKingdom,33,Laptop
162,Premium,15,2022-04-19,2023-06-25,Canada,31,Laptop
1529,Premium,12,2022-09-11,2023-07-04,Australia,31,Laptop
38,Standard,12,2021-11-05,2023-06-24,Mexico,32,Smartphone
804,Standard,14,2022-06-22,2023-07-02,Canada,47,Smartphone
83,Basic,10,2022-10-20,2023-06-26,UnitedKingdom,46,Smartphone
659,Premium,13,2022-08-03,2023-06-29,Australia,41,Laptop
1672,Basic,15,2022-09-23,2023-07-07,Spain,30,Tablet
1651,Basic,14,2022-06-28,2023-07-06,France,38,SmartTV
182,Basic,13,2022-05-16,2023-06-25,Canada,30,Laptop
520,Basic,13,2022-08-03,2023-06-28,UnitedStates,32,SmartTV
549,Standard,10,2022-09-05,2023-06-27,Canada,38,Smartphone
1481,Premium,14,2022-11-03,2023-07-04,UnitedStates,41,Laptop
